Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
ILC,SHA-256,PoW,1317747500.0,2500000000.0,-0.11308709100787293,-1.303686531066828,0.14526427085372431,ILCoin,0
PHR,PoS,PoS,11390225.9742772,30000000.0,-0.3524229325663168,1.5530742542956022,-0.08899979862677322,Phreak,3
DEA,Scrypt,PoW/PoS,21358764.0,105000000.0,-0.3369450399944531,0.9872347574795254,-0.427451113482644,Degas Coin,3
HTML5,X15,PoW/PoS,40659020000.0,90000000000.0,0.8949479144391634,1.7764541010304549,-0.5515114004451053,HTML5 Coin,3
USC,SHA-256,PoS,10343113.0,200084200.0,-0.26978967233723045,0.6248323522884996,-0.052555646788843766,Ultimate Secure Cash,3
EQT,Scrypt,PoW,13673406.4325268,72000000.0,-0.16890048011096193,-1.1252159615628683,0.0034085992844691514,EquiTrader,0
QTUM,POS 3.0,PoS,100000000.0,100000000.0,-0.3564739438211669,1.542795612200578,-0.03215610323039414,QTUM,3
QRL,CryptoNight-V7,PoW,69036016.8340164,105000000.0,-0.15729711926435785,-2.1712425104365014,0.3741787264764678,Quantum Resistant Ledger,0
ESP,536,PoW/PoS,22801882871.0,50000000000.0,0.5592828680485474,2.0703036396172982,-0.37730604990516486,Espers,3
DYN,Argon2d,PoW,19784224.6512734,0.0,-0.1539491715522614,-2.2288790030459302,0.4348131156755275,Dynamic,0
NANO,Blake2b,PoW,133248297.0,340282367.0,-0.03223761102836803,-2.0517137677497486,0.32640062147029963,Nano,0
CHAN,Cloverhash,PoW,18407259.0885883,30000000.0,-0.12792837644429378,-2.330954018396032,0.20890344527933385,ChanCoin,0
DCY,CryptoNight,PoW,1809467143.0,2000000000.0,0.3448240113351845,-2.269221869884926,0.3201510373721234,Dinastycoin,0
DNR,NIST5,PoW/PoS,4171382.0,10000000.0,-0.3545823765297853,1.4537356731291813,-0.4454340785351388,Denarius,3
DP,X11,PoW,35138975.0,100000000.0,-0.22050737661843478,-0.9337295425760972,0.024604004557662096,DigitalPrice,0
VUC,NIST5,PoW/PoS,62942075.0,120000000.0,-0.3530844222172265,1.4537073783950965,-0.4454638423040413,Virta Unique Coin,3
